Speed,Acceleration,EngineRevolution,Accelerator,Clutch,Brake,Steering,Switches,Gear,WheelSlip,DistanceToCenterOfLane,PX,PY,PZ,category,output
32.98447969,0.35395247,391.431416,0.460848408,0.999883644,0,0.044088891,0,3.939626784,0,3.386289791,1493.796981,180.1099012,-0.009758507,500Z,1
29.72538566,0.261223281,243.1366749,0.552830845,0.99984666,0.015177701,0.029696886,0,5,0,3.267043222,4049.212161,3844.815953,-0.009233792,500Z,1
32.49226902,0.203598804,265.7903185,0.542663261,0.999794674,0.004483043,0.036955337,0,5,0,4.025358696,1500.96038,188.0999239,-0.009597826,500Z,1
30.48616061,0.014138081,249.4283636,0.482326768,0.999861818,0.026078081,0.035625131,0,5,0,4.418717172,4040.973394,3854.805162,-0.008373737,500Z,1
25.16994421,0.035454569,297.4486623,0.174934117,0.99999765,0.008037598,0.019952419,0,4,0,3.22105309,1587.629521,2788.794056,-0.01,500Z,0
25.64853198,0.099444996,303.0797644,0.15561674,0.996869353,2.39E-06,0.01887093,0,4,0,2.972019486,1587.628946,2785.979841,-0.01,500Z,0
24.78123068,-0.008292881,292.8724178,0.116880593,0.99994322,0.006487288,0.018942373,1.004237288,4,0,2.541872881,-2779.071034,5887.703983,0,500Z,0
24.55353174,0.143024851,200.8535447,0.261739745,0.99907217,0,0.019247021,0,5,0,6.265795745,1581.423362,2799.007302,-0.01,500Z,0
22.66422234,0.071259953,185.4150737,0.272330251,0.999398354,0.019699843,0.017376082,0,5,0,3.227437304,1574.682437,2801.781536,-0.01,500Z,0
21.16552375,-0.00531622,173.1739254,0.073876032,0.999103548,0,0.014461492,0,5,0,2.737168718,-2775.675337,5894.897314,0,500Z,0
24.29400233,0.005195761,198.7674231,0.118355694,0.999749958,0.000786284,0.017201588,0,5,0,2.924447215,-2776.311405,5893.433383,0,500Z,0
27.81899048,-0.029335096,328.7813615,0.129465865,0.999683077,0.005117019,0.02238099,0,4,0,3.256586538,1591.526404,2781.723404,-0.01,500Z,0
25.8215889,0.034846285,211.2579839,0.180403491,0.994425694,0.004147986,0.018819024,0,5,0,3.326284691,-2779.103133,5892.871925,0,500Z,0
30.21333778,0.070112115,247.1808686,0.375434908,0.999912526,0.014883162,0.028113501,0,5,0,3.033767967,-2785.936848,5884.858409,0,500Z,0
25.91183351,0.00216586,306.2298163,0.10649086,0.997945072,0.000719713,0.019372303,0,4,0,3.07968638,1592.022437,2784.413611,-0.01,500Z,0
25.63747352,0.091811249,302.9521399,0.166721169,0.998593623,0.001896723,0.020515642,0,4,0,3.849548273,1584.896014,2793.413463,-0.01,500Z,0
25.04855212,0.11409758,295.9834149,0.162031806,0.997517978,0,0.019735583,0,4,0,2.886836646,1582.296932,2794.969542,-0.01,500Z,0
28.81137845,0.087606554,235.7055571,0.244449156,0.998949355,0,0.023606097,0,5,0,3.071807349,1588.513357,2787.730794,-0.01,500Z,0
25.67311661,0.055684821,303.3878098,0.130675446,0.992664643,0,0.019539946,0.086607143,4,0,6.0390625,-2781.125955,5891.230768,0,500Z,0
23.06412002,0.11009386,272.5327368,0.142302871,0.999275758,0.003546571,0.016967057,0,4,0,3.066507177,1583.795965,2793.764593,-0.01,500Z,0
19.91298084,-0.073875242,254.563574,0.054663209,0.957592739,0.010557815,0.013951473,0,3,0,2.99533195,1597.605816,2777.398485,-0.01,500Z,0
25.66490251,0.03471889,209.976085,0.179009221,0.993371979,0.001819338,0.019820367,0,5,0,3.158710833,1583.276517,2790.534673,-0.01,500Z,0
24.67363636,0.085988468,291.5637214,0.148630135,0.9957133,0.006888047,0.019455219,0,4,0,2.953552189,-2785.239175,5884.442534,0,500Z,0
23.74812521,0.046171675,194.2902323,0.143051724,0.991300657,0,0.016879491,0,5,0,2.807528736,1589.752759,2786.180501,-0.01,500Z,0
22.67741322,0.168639045,267.9396291,0.189372457,0.962833725,0.003708059,0.017786064,0,4,0,3.005226917,1574.087551,2803.265297,-0.01,500Z,0
